# Q^2,X,F2,stat,syst
0.8,0.008,0.276,0.0031,0.0081
1.13,0.008,0.2955,0.0055,0.0085
3.47,0.008,0.3715,0.0103,0.0128
0.9,0.0125,0.2859,0.0064,0.0056
1.24,0.0125,0.3112,0.0034,0.0068
1.67,0.0125,0.3238,0.0055,0.0069
2.73,0.0125,0.3816,0.0177,0.0087
3.26,0.0125,0.3626,0.0172,0.0092
4.52,0.0125,0.3924,0.0076,0.0137
5.39,0.0125,0.4279,0.0099,0.0167
1.27,0.0175,0.3111,0.0049,0.0048
1.73,0.0175,0.3432,0.0047,0.0057
2.29,0.0175,0.355,0.006,0.006
3.62,0.0175,0.3848,0.0129,0.0087
4.33,0.0175,0.4067,0.0157,0.0112
5.6,0.0175,0.4168,0.01,0.0137
6.73,0.0175,0.4128,0.0066,0.0146
1.27,0.025,0.3177,0.0058,0.0043
1.76,0.025,0.3401,0.0042,0.0041
2.41,0.025,0.362,0.0035,0.0045
3.34,0.025,0.3825,0.0072,0.0066
4.54,0.025,0.3979,0.0112,0.0085
5.45,0.025,0.4009,0.0112,0.0101
7.09,0.025,0.4207,0.0061,0.011
8.89,0.025,0.4427,0.0061,0.136
10.8,0.025,0.4732,0.0112,0.0169
1.3,0.035,0.3183,0.0087,0.0048
1.76,0.035,0.3429,0.0061,0.004
2.45,0.035,0.3716,0.0043,0.0038
3.42,0.035,0.3915,0.006,0.0048
4.39,0.035,0.3939,0.0098,0.0074
5.46,0.035,0.3946,0.0128,0.0067
6.96,0.035,0.4257,0.0101,0.0089
9,0.035,0.4121,0.0074,0.0088
11.44,0.035,0.4355,0.0061,0.0122
14.11,0.035,0.4531,0.0104,0.0156
1.33,0.05,0.3422,0.0101,0.0077
1.76,0.05,0.3413,0.0059,0.0054
2.48,0.05,0.3539,0.0037,0.0041
3.44,0.05,0.3841,0.0045,0.0039
4.45,0.05,0.3796,0.0063,0.0044
5.44,0.05,0.3836,0.0083,0.0046
6.89,0.05,0.3874,0.0079,0.0053
9.06,0.05,0.3957,0.0072,0.0059
11.49,0.05,0.4202,0.0054,0.0076
14.87,0.05,0.4229,0.0051,0.0103
18.91,0.05,0.4486,0.0077,0.0142
