# Nucl. Phys. B 483 (1997), p. 3,,,,
# x,Q^2,F2,stat,syst
0.0078,0.8,0.272,0.0034,0.008
0.0092,1.09,0.2943,0.0082,0.0091
0.012,0.9,0.2763,0.0064,0.0054
0.0125,1.22,0.3022,0.0037,0.0067
0.0139,1.62,0.3204,0.0101,0.0078
0.0173,1.27,0.2988,0.0048,0.0045
0.0176,1.72,0.3316,0.0054,0.0059
0.0185,2.16,0.3354,0.0118,0.0065
0.0246,1.28,0.3053,0.0056,0.0039
0.0247,1.75,0.3268,0.0044,0.0038
0.0254,2.35,0.3504,0.0046,0.0046
0.0276,3.24,0.3415,0.0195,0.007
0.0348,1.3,0.3082,0.0085,0.0045
0.0348,1.76,0.3306,0.0059,0.0037
0.0349,2.44,0.3541,0.0046,0.0035
0.0355,3.34,0.3732,0.0092,0.0053
0.0364,4.26,0.3878,0.0317,0.0101
0.0495,1.33,0.3331,0.0098,0.0071
0.0493,1.76,0.3314,0.0058,0.0051
0.0494,2.48,0.3456,0.004,0.0038
0.0501,3.41,0.3721,0.0057,0.0038
0.0509,4.39,0.3893,0.0122,0.0053
0.0526,5.31,0.3895,0.0286,0.0072
0.0701,1.35,0.3156,0.0139,0.0089
0.0699,1.77,0.3446,0.0084,0.007
0.0694,2.48,0.3503,0.0053,0.0052
0.0696,3.45,0.3841,0.0065,0.0044
0.0703,4.42,0.3832,0.0098,0.0042
0.0703,5.38,0.3705,0.0174,0.0043
0.0712,6.38,0.3785,0.0379,0.005
0.0903,1.38,0.3384,0.0211,0.011
0.09,1.76,0.3395,0.0107,0.0088
0.0898,2.47,0.3599,0.0068,0.0066
0.0898,3.46,0.3686,0.0072,0.0051
0.09,4.43,0.3739,0.01,0.0043
0.0903,5.44,0.3584,0.0155,0.004
0.0897,6.5,0.402,0.0269,0.0047
0.1091,1.78,0.3453,0.0133,0.0105
0.1097,2.49,0.3615,0.0082,0.0079
0.1099,3.48,0.3674,0.0083,0.0058
0.11,4.45,0.3676,0.0104,0.0049
0.1105,5.44,0.3575,0.0148,0.0039
0.1096,6.6,0.374,0.0217,0.0042
0.1284,1.86,0.3673,0.0219,0.0137
0.1385,2.49,0.3631,0.0071,0.0101
0.1398,3.48,0.3705,0.0071,0.0068
0.1396,4.45,0.3653,0.0083,0.0054
0.1399,5.46,0.3601,0.0115,0.0048
0.1409,6.69,0.3768,0.0144,0.0044
0.1741,2.67,0.363,0.0109,0.0114
0.1807,3.47,0.3386,0.0081,0.0079
0.1802,4.46,0.3727,0.0102,0.0066
0.1808,5.46,0.3337,0.0119,0.0049
0.1804,6.77,0.3616,0.0141,0.0046
0.1771,8.5,0.3921,0.038,0.005
0.2051,2.9,0.3346,0.0316,0.0102
0.221,3.51,0.331,0.0088,0.0082
0.2262,4.47,0.324,0.0092,0.0062
0.2263,5.47,0.3498,0.0126,0.0055
0.228,6.81,0.3205,0.0125,0.0042
0.2215,8.64,0.3062,0.0265,0.0039
0.2657,3.75,0.3029,0.0147,0.0076
0.2736,4.47,0.3045,0.0102,0.006
0.2758,5.44,0.3058,0.0128,0.0048
0.2803,6.85,0.32,0.0139,0.0048
0.2737,8.7,0.3237,0.027,0.0048
0.3166,4.62,0.2884,0.0123,0.0134
0.3397,5.46,0.2584,0.0095,0.0094
0.3511,6.87,0.2759,0.0103,0.0065
0.345,8.73,0.2398,0.0163,0.0052
0.3973,5.73,0.2086,0.0211,0.0243
0.4425,6.97,0.2024,0.0094,0.0198
0.4653,8.75,0.1817,0.0118,0.0136
0.0087,1.18,0.2987,0.009,0.0082
0.0117,1.37,0.303,0.0097,0.0062
0.0129,1.7,0.32,0.0071,0.0066
0.0172,1.77,0.3274,0.01,0.0052
0.0178,2.34,0.3519,0.0072,0.0057
0.0241,1.82,0.3219,0.0122,0.0042
0.0245,2.5,0.344,0.0054,0.0043
0.026,3.36,0.3732,0.0077,0.0064
0.0348,2.51,0.3733,0.0094,0.0043
0.0348,3.48,0.3825,0.0076,0.0047
0.0354,4.41,0.3825,0.0103,0.007
0.0374,5.32,0.4031,0.0278,0.0094
0.0497,2.54,0.3394,0.0087,0.0048
0.0494,3.49,0.3785,0.007,0.0043
0.0495,4.47,0.3681,0.0073,0.0043
0.0504,5.43,0.3705,0.0099,0.005
0.0524,6.61,0.4086,0.0162,0.0065
0.0707,2.56,0.3426,0.0129,0.0061
0.0702,3.5,0.3584,0.0089,0.0051
0.0698,4.48,0.3659,0.0089,0.0043
0.07,5.47,0.3867,0.0106,0.004
0.07,6.86,0.3902,0.013,0.0047
0.0718,8.62,0.4555,0.0308,0.0068
0.0915,2.61,0.3948,0.0202,0.0089
0.0909,3.5,0.343,0.0109,0.0058
0.0906,4.47,0.3645,0.0108,0.0051
0.0904,5.48,0.3807,0.012,0.0047
0.0904,6.81,0.3814,0.0112,0.0043
0.0905,8.77,0.4158,0.0221,0.0054
