# x,F2,stat.,syst.,
0.225,0.1315,0.3009,0.0006194,0.01573
0.225,0.1405,0.3228,0.0007125,0.01276
0.225,0.1495,0.2487,0.0006064,0.008952
0.225,0.1585,0.2053,0.0005748,0.00811
0.225,0.1675,0.1876,0.0006007,0.00717
0.225,0.1765,0.1794,0.0006436,0.005482
0.225,0.1855,0.1746,0.000693,0.005291
0.225,0.1945,0.1754,0.0007588,0.01812
0.225,0.2035,0.1795,0.0008352,0.009854
0.225,0.2125,0.1955,0.0009521,0.01002
0.225,0.2215,0.2221,0.001125,0.009431
0.225,0.2305,0.2509,0.001326,0.009521
0.225,0.2395,0.2994,0.001605,0.01947
0.225,0.2485,0.3569,0.001953,0.01771
0.225,0.2575,0.4087,0.002277,0.01487
0.225,0.2665,0.4449,0.002542,0.01228
0.225,0.2755,0.4366,0.002634,0.009806
0.225,0.2845,0.3924,0.002525,0.01473
0.225,0.2935,0.3307,0.00231,0.01746
0.225,0.3025,0.2666,0.002108,0.01779
0.225,0.3115,0.2094,0.001921,0.01858
0.225,0.3205,0.1627,0.001731,0.01664
0.225,0.3295,0.1314,0.001588,0.01456
0.225,0.3385,0.1086,0.001483,0.01206
0.225,0.3475,0.08573,0.001361,0.009559
0.225,0.3565,0.07021,0.001242,0.007885
0.225,0.3655,0.06022,0.0012,0.006846
0.225,0.3745,0.04947,0.001107,0.005729
0.225,0.3835,0.04178,0.0009795,0.00497
0.225,0.3925,0.03158,0.0008371,0.003911
0.225,0.4015,0.02401,0.0007294,0.003157
0.225,0.4105,0.0182,0.0005855,0.002625
0.225,0.4195,0.01394,0.0004567,0.0002446
0.225,0.4285,0.009111,0.0003274,0.0001601
0.225,0.4375,0.0051,0.0001969,0.00008887
0.275,0.1495,0.2671,0.0005785,0.01693
0.275,0.1585,0.2989,0.0006506,0.01778
0.275,0.1675,0.3124,0.0007372,0.0149
0.275,0.1765,0.2466,0.0006528,0.01095
0.275,0.1855,0.2091,0.0006134,0.009663
0.275,0.1945,0.1866,0.0005909,0.00804
0.275,0.2035,0.1754,0.0005857,0.006597
0.275,0.2125,0.1699,0.0005897,0.006205
0.275,0.2215,0.1798,0.0009046,0.01105
0.275,0.2305,0.1825,0.0009676,0.01439
0.275,0.2395,0.1898,0.001056,0.009907
0.275,0.2485,0.1994,0.0007086,0.009994
0.275,0.2575,0.223,0.0007751,0.009784
0.275,0.2665,0.2579,0.001564,0.01075
0.275,0.2755,0.2917,0.000969,0.0163
0.275,0.2845,0.3383,0.0011,0.01954
0.275,0.2935,0.383,0.001227,0.01614
0.275,0.3025,0.4224,0.001362,0.01536
